alpha,max_thickness,chord_at_max_thickness,max_camber,chord_at_max_camber,reynolds_no,CL,CD
-5.0,12.0,29.9,1.0,40.0,100000,-0.5362,0.01896
5.25,8.0,30.0,1.0,40.0,50000,0.6581,0.02429
-4.0,21.0,30.0,0.0,0.0,1000000,-0.4278,0.00855
13.5,15.0,29.5,2.0,39.6,100000,1.3095,0.05017
2.75,9.0,30.9,0.0,0.0,100000,0.4275,0.01237
15.25,15.0,30.0,0.0,0.0,1000000,1.3736,0.03123
6.0,24.0,29.4,4.0,40.0,200000,1.1534,0.0215
9.75,9.0,29.3,6.0,39.6,50000,0.9933,0.10143
-4.5,14.0,29.5,2.0,39.6,200000,-0.321,0.01559
-6.25,15.0,30.9,4.0,40.2,1000000,-0.1743,0.0089
3.25,9.0,30.9,0.0,0.0,100000,0.4705,0.01273
2.75,12.0,29.9,1.0,40.0,50000,0.391,0.02822
11.75,12.0,30.0,4.0,40.0,100000,1.3595,0.0425
14.5,10.0,29.9,2.0,40.0,1000000,1.5198,0.03217
-10.25,18.0,30.0,0.0,0.0,1000000,-1.1316,0.01459
7.25,10.0,29.9,1.0,50.0,100000,0.8578,0.02612
-4.75,12.0,30.1,6.0,39.6,100000,-0.1209,0.06662
7.5,9.0,30.9,0.0,0.0,200000,0.7987,0.02456
5.75,8.0,30.0,0.0,0.0,200000,0.6214,0.01829
6.25,15.0,29.5,2.0,39.6,200000,0.9344,0.01461
9.25,12.0,30.0,0.0,0.0,50000,0.8655,0.05978
1.75,15.0,30.0,2.0,40.0,100000,0.5537,0.01746
-9.0,15.0,30.9,4.0,40.2,50000,-0.3606,0.12039
-2.25,18.0,30.0,0.0,0.0,100000,-0.3503,0.02148
-0.75,18.0,30.0,2.0,40.0,100000,0.084,0.02104
10.0,10.0,30.0,0.0,0.0,100000,0.8396,0.07272
-6.0,21.0,30.0,2.0,40.0,1000000,-0.4033,0.00956
0.75,9.0,29.3,6.0,39.6,100000,0.6748,0.01948
7.75,24.0,29.4,4.0,40.0,1000000,1.1196,0.01521
-11.25,15.0,30.9,4.0,40.2,1000000,-0.729,0.0164
-6.25,10.0,30.0,0.0,0.0,200000,-0.6833,0.01759
-6.25,18.0,30.0,0.0,0.0,200000,-0.8043,0.01741
0.0,12.0,30.0,2.0,40.0,200000,0.286,0.01001
8.25,10.0,30.0,0.0,0.0,50000,0.7946,0.05869
5.75,24.0,30.0,0.0,0.0,50000,0.5027,0.081
-2.75,8.0,30.0,0.0,0.0,200000,-0.3511,0.00873
-14.25,18.0,30.0,4.0,40.0,1000000,-1.0291,0.01975
-18.0,10.0,30.0,0.0,0.0,1000000,-1.0039,0.15161
5.75,12.0,29.9,1.0,40.0,100000,0.765,0.01736
9.75,12.0,30.0,2.0,40.0,1000000,1.2485,0.01545
7.75,21.0,30.0,0.0,0.0,50000,0.4049,0.08033
-13.75,21.0,30.0,2.0,40.0,200000,-1.07,0.03565
6.5,15.0,30.0,0.0,0.0,100000,0.7869,0.02113
5.0,15.0,30.9,4.0,40.2,100000,0.9889,0.02248
-15.75,21.0,30.0,0.0,0.0,1000000,-1.3521,0.03228
-4.25,12.2,22.5,0.0,0.0,200000,-0.5466,0.01483
